"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.897618500E0,-5.797116709E0,3.629705894E-1,-8.632495898E-1,5.872266142E0
2.907567500E0,-5.626597282E0,5.788246483E-1,-8.516158964E-1,5.720042359E0
2.917546500E0,-5.428104776E0,8.225845438E-1,-8.318769389E-1,5.552745810E0
2.927495500E0,-5.222647067E0,1.082986785E0,-8.283569882E-1,5.397691920E0
2.937474500E0,-4.996251647E0,1.372609901E0,-8.032097948E-1,5.243256091E0
2.947423500E0,-4.742370222E0,1.667393770E0,-7.732012993E-1,5.086070935E0
2.957402500E0,-4.479583486E0,1.958733044E0,-6.995158571E-1,4.938889124E0
2.967351500E0,-4.192068291E0,2.273013284E0,-5.863459948E-1,4.804563203E0
2.977330500E0,-3.891670803E0,2.591368448E0,-4.870310004E-1,4.700796876E0
2.987279500E0,-3.568670610E0,2.874695867E0,-3.920336266E-1,4.599236526E0
2.997258500E0,-3.230945375E0,3.135724930E0,-3.377246511E-1,4.515067750E0
3.007207500E0,-2.878600638E0,3.412440317E0,-3.006843124E-1,4.474539262E0
3.017186500E0,-2.509578180E0,3.679559839E0,-2.481581894E-1,4.460798778E0
3.027135500E0,-2.124743828E0,3.926112950E0,-2.111429755E-1,4.469170011E0
3.037114500E0,-1.722130725E0,4.142905487E0,-1.644991515E-1,4.489594645E0
3.047063500E0,-1.312081279E0,4.314390873E0,-6.984148264E-2,4.510033672E0
3.057042500E0,-8.967368862E-1,4.470741327E0,2.142478059E-2,4.559838163E0
3.066991500E0,-4.740785041E-1,4.603401786E0,1.068952882E-1,4.628983153E0
3.076970500E0,-5.375900835E-2,4.696735042E0,1.830038166E-1,4.700606396E0
3.086919500E0,3.892623022E-1,4.757759508E0,2.066546345E-1,4.778127962E0
3.096898500E0,8.199417485E-1,4.768732393E0,2.225613999E-1,4.843825625E0
3.106847500E0,1.235189223E0,4.746798903E0,2.297195431E-1,4.910250840E0
3.116826500E0,1.647303614E0,4.699411313E0,2.430862598E-1,4.985696222E0
3.126775500E0,2.055441898E0,4.631507013E0,2.773732360E-1,5.074705362E0
3.136754500E0,2.454411747E0,4.522458195E0,3.606995674E-1,5.158184693E0
3.146703500E0,2.836245454E0,4.374479200E0,4.489141710E-1,5.232769867E0
3.156682500E0,3.198125538E0,4.188959911E0,5.225294467E-1,5.296076767E0
3.166631500E0,3.544980032E0,3.996557865E0,6.049494962E-1,5.376366997E0
3.176610500E0,3.878769799E0,3.784597467E0,6.543151259E-1,5.458586028E0
