"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.026647292E0,6.537230369E0,4.398544586E0,6.997514999E-1,7.910260901E0
2.036627292E0,6.844177031E0,3.833669640E0,7.148465987E-1,7.877232242E0
2.046575292E0,7.098984656E0,3.302217379E0,7.440967103E-1,7.864725213E0
2.056555292E0,7.314024782E0,2.789203143E0,7.741209932E-1,7.865994915E0
2.066503292E0,7.496218175E0,2.311319563E0,7.959790548E-1,7.884736375E0
2.076483292E0,7.637966961E0,1.903349971E0,8.320506012E-1,7.915401987E0
2.086431292E0,7.743416233E0,1.526628485E0,8.707685244E-1,7.940360654E0
2.096411292E0,7.797457370E0,1.205439759E0,9.296628499E-1,7.944664842E0
2.106359292E0,7.826357233E0,9.804763234E-1,9.858943534E-1,7.948911185E0
2.116339292E0,7.820183743E0,8.136944371E-1,1.047520425E0,7.931876918E0
2.126287292E0,7.784451408E0,7.045374459E-1,1.102065738E0,7.893580026E0
2.136267292E0,7.716448290E0,6.617720801E-1,1.101236602E0,7.822674642E0
2.146215292E0,7.617323366E0,6.877834189E-1,1.028062134E0,7.717096154E0
2.156195292E0,7.501208773E0,8.033010113E-1,8.953010293E-1,7.597038206E0
2.166140917E0,7.345899709E0,9.840185666E-1,7.161715778E-1,7.446034972E0
2.176120917E0,7.125462018E0,1.242111157E0,5.509527985E-1,7.253867801E0
2.186068917E0,6.868587402E0,1.575840991E0,4.223315227E-1,7.059683537E0
2.196048917E0,6.569378945E0,1.941277936E0,3.362757841E-1,6.858453262E0
2.205996917E0,6.223405627E0,2.374374182E0,3.197561574E-1,6.668633620E0
2.215976917E0,5.818485943E0,2.845432307E0,3.914968888E-1,6.488800621E0
2.225924917E0,5.362101991E0,3.356875396E0,5.025741056E-1,6.346127238E0
2.235904917E0,4.855534310E0,3.905756453E0,6.001839789E-1,6.260300928E0
2.245852917E0,4.321903961E0,4.466438361E0,6.710638905E-1,6.251260051E0
2.255831917E0,3.747915252E0,5.019804817E0,6.933920681E-1,6.302864563E0
2.265780917E0,3.144715901E0,5.544662004E0,6.749464417E-1,6.409997467E0
2.275759917E0,2.503424278E0,6.043526562E0,5.880719467E-1,6.567889695E0
2.285708917E0,1.854264642E0,6.531963782E0,4.329828107E-1,6.803846142E0
2.295687917E0,1.199362894E0,6.949015853E0,2.496702429E-1,7.056176579E0
2.305636917E0,5.308339182E-1,7.286866804E0,2.873204827E-2,7.306232819E0
2.315615917E0,-1.595892262E-1,7.561808147E0,-1.910367215E-1,7.565904189E0
2.325564917E0,-8.316801801E-1,7.750998902E0,-4.164585793E-1,7.806607051E0
2.335543917E0,-1.511608157E0,7.868716217E0,-6.074561244E-1,8.035586915E0
2.345492917E0,-2.174069332E0,7.886991105E0,-7.235654551E-1,8.213084263E0
2.355471917E0,-2.822261253E0,7.803671790E0,-7.764143443E-1,8.334582847E0
2.365420917E0,-3.438286765E0,7.622046162E0,-7.528260916E-1,8.395483947E0
2.375399917E0,-4.030422599E0,7.371744402E0,-6.737886930E-1,8.428577167E0
2.385348917E0,-4.592098826E0,7.040258145E0,-5.544358387E-1,8.423776201E0
2.395327917E0,-5.110230837E0,6.612623783E0,-4.228904434E-1,8.367800717E0
2.405276917E0,-5.580337036E0,6.114543335E0,-3.438326526E-1,8.285289526E0
2.415255917E0,-5.993298395E0,5.580856268E0,-3.427754760E-1,8.196528373E0
2.425204917E0,-6.350030590E0,4.997569610E0,-3.956512624E-1,8.090434502E0
2.435183917E0,-6.667186491E0,4.385995876E0,-4.741654084E-1,7.994571181E0
2.445132917E0,-6.938036537E0,3.793488743E0,-5.906512997E-1,7.929424745E0
2.455111917E0,-7.156837592E0,3.134964792E0,-7.573565874E-1,7.849962902E0
2.465060917E0,-7.325688223E0,2.549788898E0,-9.684450924E-1,7.816969826E0
2.475039917E0,-7.480499690E0,1.971917930E0,-1.136592888E0,7.819090697E0
2.485019917E0,-7.595109794E0,1.412549892E0,-1.215433820E0,7.820375269E0
2.494967917E0,-7.699470314E0,8.920857185E-1,-1.251353851E0,7.851340428E0
2.504946917E0,-7.783042814E0,4.517465258E-1,-1.255422782E0,7.896576266E0
2.514895917E0,-7.839811091E0,7.225404382E-2,-1.227693093E0,7.935684528E0
2.524874917E0,-7.872581812E0,-2.499901038E-1,-1.176094338E0,7.963870750E0
2.534823917E0,-7.875451040E0,-4.996580261E-1,-1.105562884E0,7.968353439E0
2.544802917E0,-7.877650178E0,-6.809819376E-1,-1.042607741E0,7.975471123E0
2.554751917E0,-7.834987723E0,-7.804267037E-1,-9.827848041E-1,7.934857556E0
2.564730917E0,-7.763651108E0,-7.852307761E-1,-9.491919655E-1,7.860778033E0
2.574679917E0,-7.673923244E0,-7.427969474E-1,-9.414594613E-1,7.767058078E0
2.584658917E0,-7.556604710E0,-6.142312932E-1,-9.580633610E-1,7.641821787E0
2.594607917E0,-7.411691995E0,-3.847690094E-1,-9.841887206E-1,7.486644966E0
2.604586917E0,-7.239519560E0,-1.162087333E-1,-9.956486785E-1,7.308588388E0
2.614535917E0,-7.034934255E0,2.293190271E-1,-9.898225129E-1,7.107927673E0
2.624514917E0,-6.794742916E0,6.574363697E-1,-9.589446095E-1,6.893499012E0
2.634463917E0,-6.520755839E0,1.142230774E0,-9.085112051E-1,6.682091024E0
2.644442917E0,-6.217609282E0,1.671037754E0,-8.430399314E-1,6.493207889E0
2.654391917E0,-5.869787074E0,2.246262857E0,-7.607712883E-1,6.330787476E0
2.664370917E0,-5.485282359E0,2.836494838E0,-6.938423038E-1,6.214132495E0
2.674319917E0,-5.054031494E0,3.453660264E0,-6.314197683E-1,6.153835754E0
2.684298917E0,-4.581411870E0,4.084749080E0,-5.721605035E-1,6.164566279E0
2.694247917E0,-4.072895897E0,4.726204425E0,-4.865338775E-1,6.257971274E0
2.704226917E0,-3.539035167E0,5.320793751E0,-3.763782183E-1,6.401349594E0
2.714175917E0,-2.968232899E0,5.890987324E0,-2.461707026E-1,6.601116437E0
2.724154917E0,-2.344779670E0,6.421506954E0,-1.424334590E-1,6.837691903E0
2.734103917E0,-1.712468201E0,6.876524413E0,-8.994771838E-2,7.087116898E0
2.744082917E0,-1.056771232E0,7.258537629E0,-7.500516792E-2,7.335445435E0
2.754031917E0,-3.911467136E-1,7.561255585E0,-7.537821114E-2,7.571741124E0
2.764010917E0,2.833806288E-1,7.799516174E0,-1.074460959E-1,7.805402091E0
2.773959917E0,9.567980236E-1,7.931116533E0,-1.170963407E-1,7.989479550E0
2.783938917E0,1.614916909E0,7.956332066E0,-6.765928349E-2,8.118851788E0
2.793887917E0,2.263807427E0,7.901184052E0,3.724912087E-2,8.219180068E0
2.803866917E0,2.874186575E0,7.756419271E0,1.980779386E-1,8.274190187E0
2.813815917E0,3.452104905E0,7.535345988E0,3.627144814E-1,8.296386516E0
2.823794917E0,4.003326310E0,7.229637181E0,5.123330355E-1,8.279900993E0
2.833743917E0,4.514447510E0,6.825050789E0,6.481871708E-1,8.208635769E0
2.843722917E0,5.006224658E0,6.366900392E0,7.415976834E-1,8.133244928E0
2.853671917E0,5.457275950E0,5.868211250E0,7.848681756E-1,8.051942755E0
2.863650917E0,5.857561131E0,5.345081915E0,7.774996606E-1,7.967774395E0
2.873599917E0,6.238787313E0,4.820362138E0,7.736988974E-1,7.921929579E0
2.883578917E0,6.561974031E0,4.250607106E0,7.829516045E-1,7.857491786E0
2.893527917E0,6.856014719E0,3.726507719E0,8.057334530E-1,7.844807455E0
2.903506917E0,7.110395497E0,3.223136711E0,7.942577807E-1,7.847112832E0
2.913455917E0,7.329922777E0,2.678997161E0,7.469046164E-1,7.839812511E0
2.923434917E0,7.511870586E0,2.214776185E0,6.772608427E-1,7.860796111E0
2.933383917E0,7.647298533E0,1.807840381E0,6.347187674E-1,7.883674880E0
2.943362917E0,7.741439874E0,1.445142272E0,6.216116488E-1,7.899666357E0
2.953311917E0,7.807846118E0,1.141730837E0,6.581287531E-1,7.918279091E0
2.963290917E0,7.821944924E0,9.091747910E-1,7.413181865E-1,7.909423105E0
2.973239917E0,7.813132585E0,7.558356535E-1,8.559540188E-1,7.896137386E0
2.983218917E0,7.771382296E0,6.780583298E-1,9.604017357E-1,7.859803902E0
2.993167917E0,7.684985592E0,6.800276721E-1,1.035476476E0,7.784192489E0
3.003146917E0,7.563281060E0,7.335296953E-1,1.068165920E0,7.673478002E0
3.013095917E0,7.411736434E0,8.608972549E-1,1.036559308E0,7.533222169E0
3.023074917E0,7.227324607E0,1.052139798E0,9.687024430E-1,7.367469278E0
